student_id,first_name,last_name,father_f_name,father_s_name,s_gender,s_mobile_1,s_mobile_2,s_age,student_dob,admission_date,class,s_house_no,s_street,s_area,s_pincode
230705,Aarav,Kapoor,Venkatesh,Kapoor,m,9875543209,9850542959,6,03-06-2016,03-11-2020,1,1-3-445/100/265,Hayathnagar Main Road,Hayathnagar,501505
230706,Ahmed,Khan,Sufiyan,Khan,m,9874543199,9849542949,7,12-02-2015,22-08-2022,1,1-3-409/118/319,Hitech City Road,Hitech City,500081
230707,Aishwarya,Deshmukh,Robert,Deshmukh,f,9873943193,9848942943,6,17-09-2016,07-11-2019,1,1-3-511/67/166,Raj Bhavan Road,Raj Bhavan Road,500082
230708,Ananya,Verma,Ravi,Verma,f,9873143185,9848142935,7,23-04-2015,06-05-2021,1,1-3-141/252/721,Santosh Nagar Road,Santosh Nagar,500059
230709,Arjun,Rana,Ramesh,Rana,m,9872443178,9847442928,6,06-12-2016,01-04-2018,1,1-3-283/181/508,Masab Tank Road,Masab Tank,500028
230710,Arnav,Gupta,Ram,Gupta,m,9871643170,9846642920,7,20-03-2015,03-06-2020,1,1-3-495/75/190,Nampally Main Road,Nampally,500001
230711,Aryan,Joshi,Srinivas,Joshi,m,9870943163,9845942913,6,25-08-2016,30-06-2019,1,1-3-461/92/241,Yousufguda Main Road,Yousufguda,500045
230712,Ava,Thompson,Jack,Thompson,f,9870343157,9845342907,7,02-02-2015,03-11-2020,1,1-3-147/249/712,Bowenpally Main Road,Bowenpally,500011
230713,Devansh,Sharma,Sameer,Sharma,m,9869143145,9844142895,6,07-09-2016,04-09-2018,1,1-3-229/208/589,Abids Road,Abids,500001
230714,Grace,Wilson,Sameer,Wilson,f,9867443128,9842442878,7,15-04-2015,19-06-2022,1,1-3-125/260/745,Chanda Nagar Road,Chanda Nagar,500050
230715,Ishita,Saxena,Raju,Saxena,f,9867243126,9842242876,6,21-11-2016,01-04-2018,1,1-3-251/197/556,Yousufguda Main Road,Yousufguda,500045
230716,Kabir,Desai,Rajesh,Desai,m,9866443118,9841442868,7,28-06-2015,03-06-2020,1,1-3-529/58/139,Alwal Main Road,Alwal,500010
230717,Kavya,Reddy,Raghav,Reddy,f,9865643110,9840642860,6,04-01-2016,12-10-2019,1,1-3-267/189/532,Barkatpura Main Road,Barkatpura,500027
230718,Meera,Mehta,Raghav,Mehta,f,9864343097,9839342847,7,12-08-2015,06-04-2022,1,1-3-349/148/409,Santosh Nagar Road,Santosh Nagar,500059
230719,Naima,Ali,Kareem,Ali,f,9863643090,9838642840,6,18-03-2016,26-07-2019,1,1-3-601/22/31,Gachibowli Road,Gachibowli,500032
230720,Navya,Patel,Raju,Patel,f,9863143085,9838142835,7,24-10-2015,01-09-2020,1,1-3-319/163/454,Hafeezpet Main Road,Hafeezpet,500049
230721,Nisha,Sharma,Deepak Sharma,Sharma,f,9861543069,9836542819,6,29-05-2016,12-11-2019,1,1-3-227/209/592,Hayathnagar Main Road,Hayathnagar,501505
230722,Priya,Chawla,Mohan,Chawla,f,9859443048,9834442798,7,06-12-2015,29-09-2021,1,1-3-565/40/85,Yousufguda Main Road,Yousufguda,500045
230723,Rishi,Malhotra,Krishna,Malhotra,m,9858643040,9833642790,6,13-07-2016,25-10-2018,1,1-3-381/132/361,Nampally Main Road,Nampally,500001
230724,Riya,Sharma,Sandeep,Sharma,f,9857843032,9832842782,7,20-02-2015,19-11-2020,1,1-3-225/210/595,Necklace Road,Necklace Road,500063
230701,Riyaan,Patel,Vivek,Patel,m,9856943023,9831942773,6,01-07-2016,27-08-2022,1,1-3-317/164/457,Raj Bhavan Road,Raj Bhavan Road,500082
230702,Rohan,Choudhury,Vishnu,Choudhury,m,9856143015,9831142765,7,10-09-2015,25-03-2020,1,1-3-551/47/106,Nizampet Road,Nizampet,500090
230725,Samuel,Davis,James,Davis,m,9855243006,9830242756,6,25-09-2016,12-10-2019,1,1-3-535/55/130,L.B. Nagar Main Road,L.B. Nagar,500074
230703,Siddharth,Singhania,Venkat,Singhania,m,9854943003,9829942753,6,15-04-2016,18-05-2020,1,1-3-169/238/679,Himayat Nagar Road,Himayat Nagar,500029
230704,Vihaan,Bhatia,Suresh,Bhatia,m,9853542989,9828542739,7,20-11-2015,04-09-2018,1,1-3-579/33/64,Somajiguda Main Road,Somajiguda,500082
230823,Aanya,Mehta,Gopal,Mehta,f,9876443218,9851442968,7,13-07-2015,03-08-2018,2,1-3-347/149/412,Nallakunta Main Road,Nallakunta,500044
230801,Aisha,Khan,Michael,Khan,f,9874243196,9849242946,7,01-07-2015,25-10-2018,2,1-3-407/119/322,Begumpet Road,Begumpet,500016
230824,Aishwarya,Chawla,Deepak,Chawla,f,9873843192,9848842942,8,20-02-2014,22-12-2019,2,1-3-563/41/88,Kondapur Main Road,Kondapur,500084
